"Appeal Code","Appeal Type","Program Code","Drop Date","Fiscal Year","Start Date","Stop Date","Number Selected","Appeal Name","Appeal Cost"
"AW81"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW86"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW91"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"AW96"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"PH51"," "," "," "," "," "," "," ","Class of 1951 Reunion"," "
"PH56"," "," "," "," "," "," "," ","Class of 1956 Reunion"," "
"PH71"," "," "," "," "," "," "," ","Class of 1971 Reunion"," "
"PH76"," "," "," "," "," "," "," ","Class of 1976 Reunion"," "
"PH91"," "," "," "," "," "," "," ","Class of 1991 Reunion"," "
"MLW1"," "," "," "," "," "," "," ","Western - first mailing"," "
"MLW2"," "," "," "," "," "," "," ","Western - second mailing"," "
"MLW3"," "," "," "," "," "," "," ","Western - third mailing"," "
"SC01"," "," "," "," "," "," "," ","Senior Gift Campaign 2001"," "
"MLRR"," "," "," "," "," "," "," ","Red & White Mailing - Renewals"," "
"MLRO"," "," "," "," "," "," "," ","Red & White renewals - October"," "
"PHDR"," "," "," "," "," "," "," ","Western donors Reunion"," "
"PHWN"," "," "," "," "," "," "," ","Western - non donors"," "
"MLBR"," "," "," "," "," "," "," ","Black Reunion"," "
"PHR3"," "," "," "," "," "," "," ","Red & White Lybunts 3 yrs. out"," "
"AW89"," "," "," "," "," "," "," ","Reunion Weekend contribution"," "
"PH99"," "," "," "," "," "," "," ","Class of '99 Reunion"," "
"PH94"," "," "," "," "," "," "," ","Class of '94 Reunion"," "
"PH89"," "," "," "," "," "," "," ","Class of '89 Reunion"," "
"PH84"," "," "," "," "," "," "," ","Class of '84 Reunion"," "
"PH79"," "," "," "," "," "," "," ","Class of '79 Reunion"," "
"PH74"," "," "," "," "," "," "," ","Class of '74 Reunion"," "
"PH69"," "," "," "," "," "," "," ","Class of '69 Reunion"," "
"PH59"," "," "," "," "," "," "," ","Class of '59 Reunion"," "
"PH54"," "," "," "," "," "," "," ","Class of '54 Reunion"," "
"PHWM"," "," "," "," "," "," "," ","WMUB Phonathon"," "
"PH64"," "," "," "," "," "," "," ","Class of '64 Reunion"," "
"MLSG"," "," "," "," "," "," "," ","Sid Gillman Football Mem. Schp"," "
"MLJP"," "," "," "," "," "," "," ","John Pont Running Back Scholar"," "
"PHCB"," "," "," "," "," "," "," ","CBCL"," "
"MLAM"," "," "," "," "," "," "," ","Air Miami Challenge"," "
"MLPN"," "," "," "," "," "," "," ","Parents Newsletter"," "
"MLAA"," "," "," "," "," "," "," ","MLAA gifts via MUAA appeals"," "
"PHPP"," "," "," "," "," "," "," ","Past Parents"," "
"PHMC"," "," "," "," "," "," "," ","Mallory Center Phonathon"," "
"ML5Z"," "," "," "," "," "," "," ","Fifth General - nondonors"," "
"MLUL"," "," "," "," "," "," "," ","Univ. Libraries AF Solc"," "
"ML5A"," "," "," "," "," "," "," ","Fifth General - MUAA members"," "
"ISRE"," "," "," "," "," "," "," ","Intrdscplny/Studi Reunion Gift"," "
"PHSA"," "," "," "," "," "," "," ","AF Second Ask Phonathon"," "
"PHX7"," "," "," "," "," "," "," ","Non-donors Group 7"," "
"PHX8"," "," "," "," "," "," "," ","Non-donors Group 8"," "
"PHX9"," "," "," "," "," "," "," ","Non-donors Group 9"," "
"PHX0"," "," "," "," "," "," "," ","Non donors Group 10"," "
"PHTY"," "," "," "," "," "," "," ","First time donors thank you"," "
"PPSN"," "," "," "," "," "," "," ","Parent Prospect Solicitation"," "
"MLEN"," "," "," "," "," "," "," ","Endowment Report Mailing"," "
"PHW2"," "," "," "," "," "," "," ","Western Two Year Lapsed"," "
